"grid_id","cd_mun","adjusted_share_mun_tocr","idsbrazil"
2918,"5108808",0.004632719470599542,"""-55p25.-10p75.BRA"""
3711,"5200134",0.6177656535082571,"""-50p25.-17p25.BRA"""
3633,"5200134",0.02251213641452453,"""-50p75.-17p25.BRA"""
3634,"5200134",0.04428048624671709,"""-50p75.-17p75.BRA"""
3712,"5200134",0.31544172383050195,"""-50p25.-17p75.BRA"""
4701,"2111748",0.5404193529268991,"""-43p75.-5p25.BRA"""
4623,"2111748",0.45958064707310176,"""-44p25.-5p25.BRA"""
4466,"2111672",0.2800521074200941,"""-45p25.-4p75.BRA"""
4544,"2111672",0.03664251775057315,"""-44p75.-4p75.BRA"""
4467,"2111672",0.4167274507803702,"""-45p25.-5p25.BRA"""
4545,"2111672",0.26657792404896274,"""-44p75.-5p25.BRA"""
3630,"5212956",0.14690432234358103,"""-50p75.-15p75.BRA"""
3629,"5212956",0.8271351274980008,"""-50p75.-15p25.BRA"""
3551,"5212956",0.025960550158417094,"""-51p25.-15p25.BRA"""
3864,"5216809",0.001814509832055877,"""-49p25.-15p75.BRA"""
3865,"5216809",0.9981854901679474,"""-49p25.-16p25.BRA"""
3946,"5218789",0.9999999999999993,"""-48p75.-17p75.BRA"""
3863,"5219456",0.25452681360210805,"""-49p25.-15p25.BRA"""
3941,"5219456",0.0009922117787658,"""-48p75.-15p25.BRA"""
3862,"5219456",0.5066582712873633,"""-49p25.-14p75.BRA"""
3940,"5219456",0.2378227033317644,"""-48p75.-14p75.BRA"""
4942,"2202851",0.5929779259275676,"""-42p25.-8p75.BRA"""
4864,"2202851",0.12541294052605692,"""-42p75.-8p75.BRA"""
4943,"2202851",0.2816091335463761,"""-42p25.-9p25.BRA"""
4555,"2210623",0.06818358842829565,"""-44p75.-10p25.BRA"""
4556,"2210623",0.9161404633466461,"""-44p75.-10p75.BRA"""
4478,"2210623",0.015675948225057006,"""-45p25.-10p75.BRA"""
4859,"2205250",0.6358867408056658,"""-42p75.-6p25.BRA"""
4937,"2205250",0.36411325919433435,"""-42p25.-6p25.BRA"""
